date,holdings,scores
2012-01-31,"WDC,STX,MU,UAL,ALK","WDC:0.1805,STX:0.0971,MU:0.0643,UAL:0.0562,ALK:0.0545"
2012-02-29,"WDC,STX,UAL,ALK,MU","WDC:0.1805,STX:0.0971,UAL:0.0562,ALK:0.0545,MU:0.0510"
2012-03-31,"STX,UAL,MU,ALK,NEM","STX:0.0627,UAL:0.0613,MU:0.0510,ALK:0.0462,NEM:0.0438"
2012-04-30,"STX,UAL,MU,ALK,NEM","STX:0.0627,UAL:0.0613,MU:0.0510,ALK:0.0462,NEM:0.0438"
2012-05-31,"STX,UAL,ALK,NEM,WDC","STX:0.0627,UAL:0.0613,ALK:0.0462,NEM:0.0438,WDC:0.0433"
2012-06-30,"UAL,WDC,ALK,STX,AAPL","UAL:0.0828,WDC:0.0675,ALK:0.0451,STX:0.0422,AAPL:0.0342"
2012-07-31,"UAL,WDC,ALK,STX,AAPL","UAL:0.0828,WDC:0.0675,ALK:0.0451,STX:0.0422,AAPL:0.0342"
2012-08-31,"UAL,WDC,ALK,STX,MU","UAL:0.0828,WDC:0.0675,ALK:0.0451,STX:0.0422,MU:0.0354"
2012-09-30,"WDC,STX,ALK,MU,UNH","WDC:0.0536,STX:0.0427,ALK:0.0408,MU:0.0354,UNH:0.0322"
2012-10-31,"WDC,STX,ALK,MU,UNH","WDC:0.0536,STX:0.0427,ALK:0.0408,MU:0.0354,UNH:0.0322"
2012-11-30,"WDC,STX,ALK,UNH,UAL","WDC:0.0536,STX:0.0427,ALK:0.0408,UNH:0.0322,UAL:0.0298"
2012-12-31,"WDC,ALK,STX,UNH,MU","WDC:0.0468,ALK:0.0436,STX:0.0321,UNH:0.0279,MU:0.0274"
2013-01-31,"WDC,ALK,STX,UNH,MU","WDC:0.0468,ALK:0.0436,STX:0.0321,UNH:0.0279,MU:0.0274"
2013-03-31,"WDC,NEM,ALK,AAPL,TPR","WDC:0.0464,NEM:0.0446,ALK:0.0351,AAPL:0.0335,TPR:0.0322"
2013-04-30,"WDC,NEM,ALK,AAPL,TPR","WDC:0.0464,NEM:0.0446,ALK:0.0351,AAPL:0.0335,TPR:0.0322"
2013-05-31,"WDC,NEM,MU,ALK,AAPL","WDC:0.0464,NEM:0.0446,MU:0.0385,ALK:0.0351,AAPL:0.0335"
2013-06-30,"WDC,MU,TPR,UAL,ALK","WDC:0.0441,MU:0.0385,TPR:0.0385,UAL:0.0362,ALK:0.0324"
2013-07-31,"WDC,MU,TPR,UAL,ALK","WDC:0.0441,MU:0.0385,TPR:0.0385,UAL:0.0362,ALK:0.0324"
2013-08-31,"WDC,TPR,MU,UAL,ALK","WDC:0.0441,TPR:0.0385,MU:0.0366,UAL:0.0362,ALK:0.0324"
2013-09-30,"WDC,ALK,TPR,MU,STX","WDC:0.0473,ALK:0.0450,TPR:0.0371,MU:0.0366,STX:0.0366"
2013-10-31,"WDC,ALK,TPR,MU,STX","WDC:0.0473,ALK:0.0450,TPR:0.0371,MU:0.0366,STX:0.0366"
2013-11-30,"WDC,ALK,MU,TPR,STX","WDC:0.0473,ALK:0.0450,MU:0.0403,TPR:0.0371,STX:0.0366"
2013-12-31,"WDC,DECK,MU,UAL,ALK","WDC:0.0520,DECK:0.0486,MU:0.0403,UAL:0.0375,ALK:0.0354"
2014-01-31,"WDC,DECK,MU,UAL,ALK","WDC:0.0520,DECK:0.0486,MU:0.0403,UAL:0.0375,ALK:0.0354"
2014-03-31,"DECK,NEM,ALK,WDC,MU","DECK:0.0486,NEM:0.0468,ALK:0.0445,WDC:0.0430,MU:0.0403"
2014-04-30,"DECK,NEM,ALK,WDC,MU","DECK:0.0486,NEM:0.0468,ALK:0.0445,WDC:0.0430,MU:0.0403"
2014-05-31,"MU,DECK,NEM,ALK,WDC","MU:0.0543,DECK:0.0486,NEM:0.0468,ALK:0.0445,WDC:0.0430"
2014-06-30,"MU,WDC,ALK,UAL,NEM","MU:0.0543,WDC:0.0486,ALK:0.0477,UAL:0.0457,NEM:0.0389"
