tic,anchor_date,mkvaltq,EV,Pred_EBIT_dollar,True_EBIT_dollar,Pred_EBIT_EV,True_EBIT_EV
AMD,2017-09-30,12303.75,14371.75,-97.47393212638568,-110.24492498259768,-0.006782328674405391,-0.007670946473644314
ILMN,2017-09-30,29083.2,29448.2,-213.59008990290351,-245.4295787587802,-0.007253077943742012,-0.008334281170284778
MU,2017-08-31,35550.64,44385.64,2955.5473572271712,4314.921726736923,0.06658791801193294,0.09721436317549827
ADBE,2017-08-31,76474.3298,79805.1418,-371.03636332749306,-522.6289900127823,-0.004649278918109673,-0.006548813500294818
CSCO,2017-07-31,156715.35,193568.35,3456.5623288406614,2476.3142346516547,0.017857063558379568,0.012792970724044787
NVDA,2017-07-31,97506.0,98532.0,-54.6871319482896,-365.67077370953456,-0.0005550189983791012,-0.003711187976591712
UAL,2017-06-30,22952.0025,44238.0025,2601.330791117582,2567.958856761636,0.05880307979813469,0.058048707257106286
WDC,2017-06-30,26048.4,36723.4,2041.936773956478,2436.1788127195996,0.05560315150439442,0.06633859644585195
NEM,2017-06-30,17272.6801,19208.6801,820.6649367956328,660.8473385946356,0.042723650585218126,0.03440357875472327
ALK,2017-06-30,11087.245,15995.245000000003,654.1794196314112,685.5208586644901,0.040898368210765826,0.042857790466134776
LRCX,2017-06-30,22872.4839,24321.5999,783.0232359659304,890.2929721102232,0.03219456117958467,0.03660503321207184
STX,2017-06-30,11307.25,16415.25,512.9630811725951,500.32742145779264,0.031249178731520697,0.030479427450559246
GE,2017-06-30,233851.1215,271115.1215,7320.1346364017645,7662.477160915413,0.02700009721295374,0.028262817354196945
TPR,2017-06-30,13345.146,13005.546,294.0776798440391,304.175112067,0.022611713483158578,0.023388107817003605
DECK,2017-06-30,2184.2517,2221.5727,40.768265069230495,44.4489992527827,0.018351083027456402,0.02000789767212331
SWKS,2017-06-30,17626.015,16482.815,302.2865417138655,393.7993640773389,0.018339497331849294,0.023891511497116175
AAPL,2017-06-30,744552.0036,890652.0036,15230.574198449882,15136.857079843729,0.017100477107656147,0.016995254059566266
MMM,2017-06-30,124240.9217,138371.9217,2346.9720301652824,2059.723071558797,0.016961331470510915,0.014885412056532831
CNC,2017-06-30,13776.664,23029.664,344.1523783659419,245.35660418191128,0.014943873187465605,0.010653937642421151
UNH,2017-06-30,178930.3,244181.3,3054.975952038488,3002.0661098477194,0.012511097090721067,0.012294414477471123
VFC,2017-06-30,22654.5984,26271.039399999998,313.2042506686194,49.00755331277991,0.011922034979271488,0.0018654592445542873
HAS,2017-06-30,13947.5593,14835.504300000002,175.95827344682124,214.3907772497051,0.011860619624964229,0.014451195787776832
MSFT,2017-06-30,531312.44,665487.44,6265.321610237764,4543.028354967126,0.009414635399035877,0.006826617726950829
IT,2017-06-30,11191.7351,15709.0891,-13.634805413096293,13.975636863884631,-0.000867956463057829,0.0008896529120765272
AMD,2017-06-30,11818.56,13882.56,-25.285504429498616,-11.251780182444937,-0.00182138628822772,-0.0008104975006371258
AMZN,2017-06-30,464640.0,503304.0,-2125.4581215926523,-2816.2381420374495,-0.004223010589211793,-0.00559550121206557
ILMN,2017-06-30,25333.92,25836.92,-223.29305121106788,-161.64093447630694,-0.008642402082410284,-0.006256199828629223
MU,2017-05-31,34154.7,44573.7,2872.262164322948,3272.4706152016006,0.06443849544289454,0.07341707363762938
ADBE,2017-05-31,69982.9426,73602.28659999999,-590.8288452453024,-482.9700926584173,-0.008027316439993624,-0.006561889785886317
CSCO,2017-04-30,170281.86,210857.86,1735.098680161437,2248.9762560495824,0.008228759791840044,0.010665840277661846
NVDA,2017-04-30,62058.5,63035.5,-91.36444107320143,-250.99141803007092,-0.0014494124909487738,-0.003981747079503945
UAL,2017-03-31,21978.2232,43661.2232,2493.3124051882337,2504.035579402024,0.057105876163090034,0.05735147565453511
ALK,2017-03-31,11410.2884,16261.288399999998,742.4711431904988,805.8081916056693,0.04565881404517116,0.049553772848999436
WDC,2017-03-31,24016.23,35399.229999999996,1591.5751586828985,1760.360875896885,0.04496072820462193,0.04972879003009063
GE,2017-03-31,258782.0974,296104.09739999997,10678.107099505396,10855.604219201343,0.0360620038468451,0.036661445466378555
NEM,2017-03-31,17575.3597,19698.3597,708.0166353939436,705.8541497324754,0.03594292348077813,0.035833143494301986
STX,2017-03-31,13622.8839,18300.8839,500.3240029635076,486.9788869155181,0.02733878897311116,0.02660958288006614
TPR,2017-03-31,11617.863,11451.462999999998,250.41473035953382,194.8033363355047,0.021867488054542365,0.01701121824656856
HAS,2017-03-31,12478.3984,13066.2134,283.4689625788104,247.6350649349,0.021694805824831423,0.018952320565566453
LRCX,2017-03-31,21047.0608,22547.2388,436.6828319650594,504.65917240505576,0.019367463831760162,0.022382304852559407
CNC,2017-03-31,12276.0315,21278.031499999997,408.7435113757127,342.84035807160126,0.01920964875795549,0.016112409555912224
AAPL,2017-03-31,747867.3829,886584.3829,14621.024300022551,16727.64706017482,0.01649140745317154,0.018867518290203823
UNH,2017-03-31,158269.65,221579.65,3549.618693355607,3271.272702842533,0.016019606012355407,0.014763416689405066
SWKS,2017-03-31,18077.31,16937.31,227.91959568098707,365.18885055709757,0.013456658447001741,0.021561207213961223
MMM,2017-03-31,114269.9292,128893.9292,1391.8923764790427,1374.8144322742235,0.010798742695781228,0.010666246585911537
MSFT,2017-03-31,508636.78,631165.78,5204.1552940322035,4578.524629660856,0.008245306477217766,0.007254076147253825
AMD,2017-03-31,13706.1,15764.099999999999,44.75429256174806,-14.341867942076478,0.0028390008032014554,-0.0009097803199723726
IT,2017-03-31,8965.2218,10777.6518,26.961093480532927,-0.24859844592215583,0.0025015739959731234,-2.3066104800505414e-05
ILMN,2017-03-31,24913.44,25515.44,-19.594544115572166,-140.88791119702995,-0.0007679485094347645,-0.00552167280662336
AMZN,2017-03-31,423766.12,456108.12,-2460.907902254822,-2600.664363017177,-0.0053954485665697475,-0.005701859381536941
CSCO,2017-01-31,153815.04,191945.04,2202.5660401771875,2207.290832667074,0.011474982839760733,0.01149959818012007
NVDA,2017-01-31,63870.3,65877.3,251.46083322916917,-466.47818851328987,0.0038171089772830575,-0.007081015592826206
UAL,2016-12-31,22928.9954,42810.9954,2614.7762103148802,2655.0415716699913,0.06107721126042494,0.06201774910540836
WDC,2016-12-31,19569.6,31532.6,1503.4905956136993,1627.257267785414,0.04768051462973873,0.05160555323016224
ALK,2016-12-31,10942.8934,15475.8934,636.3432113422136,692.3087127144988,0.04111835064347326,0.044734652457253214
NEM,2016-12-31,18072.9426,20549.9426,765.8269502190468,752.9339809808401,0.03726662235149245,0.03663922550230579
STX,2016-12-31,11265.9518,16323.951800000003,603.1854887991166,607.5697573792237,0.036950947674270665,0.03721952654743955
DECK,2016-12-31,1767.9934,1830.7704000000003,67.43605183663895,50.46707221235492,0.036834794705354064,0.02756603024188883
GE,2016-12-31,276266.6024,309368.6024,9172.162037515563,9247.342668021885,0.029648005538895513,0.029891018662797197
TPR,2016-12-31,9826.612,9823.712,280.33544384963864,219.94994016599364,0.02853661058565628,0.022389697516172466
SWKS,2016-12-31,13797.168,12750.068,287.84450576917203,302.7635718625241,0.02257591926326762,0.023746035853496945
LRCX,2016-12-31,17166.0056,18130.8816,320.7898142413679,434.107379034876,0.017693006954574556,0.02394298239942596
AAPL,2016-12-31,608683.0919,746500.0919,11549.025730632526,12090.965809361187,0.015470896595923815,0.016196871159904525
HAS,2016-12-31,9683.8437,10868.3837,158.73530210827255,194.77477119158422,0.014605235377204482,0.017921226979829966
UNH,2016-12-31,152358.08,213397.08,3013.251461201991,2729.3479745234886,0.014120396873293632,0.012789996819654181
CNC,2016-12-31,9715.1427,19055.1427,268.860819440269,237.95515793180374,0.014109619837182797,0.012487713247710485
MMM,2016-12-31,106557.3618,120301.3618,1349.1605508996167,1030.8510778896625,0.011214840220533703,0.00856890614092502
VFC,2016-12-31,22087.5936,24430.622600000002,250.43752118733747,124.46969231784958,0.010250967619111657,0.005094822770413128
MSFT,2016-12-31,480342.2,602812.2,4860.047000236103,4567.563760179711,0.008062290378721769,0.007577092434724631
AMD,2016-12-31,10602.9,12119.9,61.26475459110086,-81.32812646942523,0.005054889445548302,-0.00671029682335871
IT,2016-12-31,8353.5366,9973.943599999999,-3.009188860780703,-17.360991348005555,-0.00030170502074833305,-0.001740634601944767
ILMN,2016-12-31,18718.9358,19512.9058,-13.773748014298006,-123.48502327248147,-0.0007058788760358801,-0.006328376948987345
AMZN,2016-12-31,357687.99,392185.99,-320.33040530073436,-1841.8661637933997,-0.0008167818674520586,-0.004696409894176484
MU,2016-11-30,20389.32,29131.32,1721.452032332744,1948.1387486167619,0.0590928262891192,0.06687437262083427
ADBE,2016-11-30,50814.2537,54516.6417,-194.84733981801375,-260.2217641414475,-0.003574089190787659,-0.004773253744671648
CSCO,2016-10-31,154136.32,195249.32,1866.5318323085912,3105.869928533518,0.009559735379916258,0.01590719972050872
NVDA,2016-10-31,38355.24,40441.24,84.95905184124142,-254.8367969419446,0.0021008023453593762,-0.006301409079987276
UAL,2016-09-30,16680.5278,36574.527799999996,2106.30879674272,2144.4034987956557,0.05758950076568645,0.05863106450811529
ALK,2016-09-30,8118.2988,10009.2988,527.8515006149396,540.1134645699389,0.05273611180584793,0.05396116904512221
STX,2016-09-30,11511.2999,16722.299899999998,697.3513848031679,803.4474691649752,0.04170188245476736,0.048046469323575244
WDC,2016-09-30,16691.6648,29510.6648,965.4031131003197,1144.8641153120052,0.03271370264421559,0.03879492797166688
TPR,2016-09-30,10247.768,10536.368,305.52917164808264,220.15232480782035,0.028997579777783257,0.020894517428379528
GE,2016-09-30,262030.0718,299108.07180000003,7096.706592357084,6569.422838551242,0.02372622895012452,0.02196337530785166
AAPL,2016-09-30,603253.5663,733702.5663,16188.571282982632,13082.280138384887,0.022064215155495816,0.01783049527052593
NEM,2016-09-30,20853.1675,25278.1675,520.1574086263944,390.31605608990793,0.020577338473067495,0.015440836686041737
LRCX,2016-09-30,15315.1753,14364.906299999999,285.02335438045714,309.65018867389267,0.019841643824746506,0.02155601868937305
HAS,2016-09-30,9911.7282,11545.925199999998,221.55293205373272,178.43471873169992,0.019188841796215064,0.015454345636302923
MMM,2016-09-30,105996.3532,121167.3532,2238.6555369129464,1368.6689336221054,0.018475731934309073,0.011295690608698594
UNH,2016-09-30,133280.0,195080.0,3120.8743029745856,2721.021414721188,0.01599792035562121,0.013948233620674535
SWKS,2016-09-30,14078.286,13204.686000000002,203.14312659917758,248.34350561760553,0.015384169422822894,0.01880722537571931
CNC,2016-09-30,11440.8526,20380.8526,311.8305912058773,340.5449145832659,0.015300174007729064,0.016709061257980242
MSFT,2016-09-30,448358.4,554362.4,7245.23358253074,5625.205921599468,0.013069489529828754,0.010147163519025582
DECK,2016-09-30,1910.6022,2378.7822,28.429448685636597,61.46866837694507,0.011951261736209643,0.025840393616929313
VFC,2016-09-30,23186.8761,26969.7261,320.4059987857702,195.64102934317296,0.01188020959492689,0.007254097747146678
IT,2016-09-30,7311.1886,8919.283599999999,9.539709795368243,-20.67309598288056,0.0010695600928496368,-0.0023177978086581486
AMD,2016-09-30,6398.66,8245.66,-15.113825484431104,-68.93738415710051,-0.001832943085748273,-0.008360444665084482
AMZN,2016-09-30,397722.25,428786.25,-1399.358871323433,-1765.728068534683,-0.0032635348529096563,-0.004117968028440004
ILMN,2016-09-30,26685.854,27381.215999999997,-159.58352222039167,-183.09488204270323,-0.0058282116550408755,-0.006686879137971931
MU,2016-08-31,17149.6,26242.6,1469.258647933974,1744.7316327018818,0.05598754117099579,0.06648470931622179
ADBE,2016-08-31,50850.6278,54505.2128,-293.14058449282686,-209.69583710664398,-0.005378211907335712,-0.0038472620568622746
CSCO,2016-07-31,153535.37,191139.37,3344.612765803364,3683.2626969530966,0.017498293343769858,0.019270036816345565
NVDA,2016-07-31,30548.5,32537.5,-85.37964562173914,-146.0813985319214,-0.002624038282650454,-0.004489631917999889
UAL,2016-06-30,13253.1293,33367.1293,1699.0039697695067,1396.2174712763967,0.05091849390140694,0.041844099284753175
ALK,2016-06-30,7174.3332,9546.333200000001,431.26064951122305,380.4648048696708,0.045175528705746724,0.03985454906075044
STX,2016-06-30,7273.2139,12527.213899999999,404.1090109396601,421.8373033047596,0.03225849052834167,0.03367367290701084
CNC,2016-06-30,12179.5046,21087.5046,480.3345857831915,477.21686035760604,0.02277816151765968,0.02263031446393169
LRCX,2016-06-30,13466.4961,13281.063100000003,291.6665582347812,335.36767547449523,0.02196108519616785,0.02525156856415321
NEM,2016-06-30,20756.8764,24393.8764,498.6044593910926,501.55258604550534,0.020439738695695472,0.020560593889272363
HAS,2016-06-30,10536.8815,11905.5565,230.37275695539086,140.31132451740308,0.01935002004781472,0.011785364633514029
AAPL,2016-06-30,515586.574,634274.574,11581.599432402641,12019.150356020837,0.018259599087133895,0.01894944374046568
WDC,2016-06-30,13421.84,25540.839999999997,464.9010515971099,765.0601523375819,0.01820226161696757,0.029954384912069535
GE,2016-06-30,282099.6148,327430.6148,5773.850763015922,5926.325923704165,0.017633814622199227,0.018099486290626986
DECK,2016-06-30,1842.6532,2044.8752000000002,32.24978554582859,55.17256554200059,0.015771028738491514,0.026980896214106653
